0	0	a	He poured orange juice on his cereal. He poured milk on his cereal.
1	0	a	He drinks apple. He drinks milk.
2	1	a	Jeff ran a mile today Jeff ran 100,000 miles today
3	1	a	A mosquito stings me I sting a mosquito
4	1	a	A niece is a person. A giraffe is a person.
5	1	a	A walk-in closet is larger than a normal closet. A normal closet is larger than a walk-in closet.
6	0	a	I like to ride my chocolate I like to ride my bike
7	1	a	A GIRL WON THE RACE WITH HER FRIEND A GIRL WON THE RACE WITH HORSE
8	0	a	he put elephant into the jug he pour water in to the jug
9	1	a	A girl plays volleyball A dog plays volleyball
10	0	a	Eggs eat kis on Easter. Kids find eggs on Easter.
11	0	a	Mark drank a notebook. Mark drank water.
12	0	a	He went to the police station to withdraw cash. He went to the bank to withdraw cash.
13	1	a	An owner can price goods An employee can price goods
14	1	a	she wear bangles in the hand she wear hat in the hand
15	1	a	My cousin throws the snowball to my brother. My cousin throws the house to my brother.
16	1	a	The caterpillar eats the rose bud Roses buds  eat caterpillars
17	0	a	Lisa played jazz music for Moses of the Old Testament yesterday. Lisa played jazz music for the President of the USA yesterday.
18	0	a	the computer broke down and the doctor fixed it the computer broke down and the technician will fix it
19	0	a	I drank bleach. I drank water.
20	0	a	I usually wear a shoe on my head I usually wear a shoes in my feet
21	1	a	My brother placed the car inside the box. My brother placed the nuclear reactor inside the box.
22	0	a	She took the chair for a walk She took the dog for a walk
23	1	a	A dog barked at a cat in the street. A dog roared at a cat in the street.
24	0	a	He mowed the carpet He mowed the tall grass
25	0	a	I drive a bike I drive a car
26	0	a	I dress an elephant I dress myself
27	1	a	I cook fish very well I cook football very well
28	0	a	Car is a very good mode of water transport Boat is a very good mode of water transport
29	1	a	a dog is taken to a veterinarian after getting sick a dog is taken to a pool after getting sick
30	0	a	She rode her bike to the moon. She rode her bike to the store.
31	1	a	A mobile phone shut down A boy shuts down
32	0	a	He planted cucumber seeds in the couch. He planted cucumber seeds in the garden.
33	0	a	I play games on my Gas stove I play games on my laptop
34	1	a	I read stars Stars read me
35	0	a	A boy turns off the door A boy turns off the light
36	0	a	He read a very long window King Tut. He read a  book about King Tut.
37	1	a	He lost his phone at the park. He lost his phone in the mouth of a griffin.
38	1	a	Sara had a glass of water Sara had a glass of petrol
39	1	a	he kept a juice bottle into the fridge he kept a chair inside the fridge
40	0	a	I read a tiger I read a book
41	0	a	I use internet on my radio I use internet in my mobile
42	0	a	She drove her children to the moon. She drove her children to the playground.
43	1	a	She drove to the grocery store. She parachuted into the grocery store from a plane.
44	0	a	The fish swam in the desert. The fish swam in the ocean.
45	1	a	There was a man walking in the snow. There was a dead ice creature walking in the snow.
46	0	a	I swim under a tap I swim in a swimming pool
47	1	a	A person eats tomatoes A person eats mountains
48	1	a	Jane saw a giraffe at the zoo. Jane saw a giraffe in her purse.
49	1	a	We use a clock to know the time We use book to know the time
50	1	a	I was playing basketball with a ball I was playing basketball with a rock
51	1	a	Mary took her dog for a walk Mary took her moth for a walk
52	1	a	I like to listen podcasts as I commute I like to listen colours as I commute
53	0	a	I run in the air I run in the ground
54	0	a	There was a blonde woman riding a dragon. There was a woman riding an elephant in Africa.
55	0	a	He ate the book He ate an apple
56	0	a	Jake ate artificial mango Jack ate mango
57	1	a	Baby is taking toys Baby is taking dictionary
58	0	a	the school was open for summer the school was open for fall
59	0	a	The chocolate cried The chocolate melted
60	1	a	There are commercials in the middle of a television program There are barbecues in the middle of a television program
61	0	a	He was tired and so he went to get into his car. He was tired and so he went to get into his bed.
62	1	a	You sometimes puke after getting drunk You never puke after getting drunk
63	0	a	You can use a jellyfish to hold checks. You can use a checkbook holder to hold checks.
64	0	a	Lawyers are people who play characters in television or theatre Actors are people who play characters in television or theatre
65	0	a	A giraffe drove a car A man drove a car.
66	0	a	A small dog is called a kitten A small dog is called a puppy
67	0	a	The parrot went to work The man went to work
68	0	a	My daughter always takes bath in a kitchen sink and avoids bath tub My daughter always takes bath in a shower and avoids bath tub
69	1	a	He killed him with a knife He killed him with a programming language
70	0	a	The cinema shared popcorn with them They shared their popcorn at the cinema
71	1	a	Rotten food usually smells nasty. Rotten food smells nice.
72	0	a	An actor wear a toaster. An actor can wear a costume.
73	1	a	The man slept in bed. The man slept on the volcano.
74	0	a	She spoke to a ghost at the door. She spoke to a man at the door.
